"y_real_all","y_fit_all","y_real_INS","y_fit_INS","y_real_BOLD","y_fit_BOLD"
"1","1","1","1","1","1"
"1","0","1","1","1","1"
"1","1","1","1","1","0"
"1","0","1","1","1","1"
"1","0","1","1","1","0"
"1","1","1","1","1","0"
"0","1","0","0","0","1"
"0","0","0","0","0","0"
"0","0","0","0","0","0"
"0","0","0","0","0","0"
"0","0","0","0","0","0"
"0","0","0","0","0","0"
"1","1","1","1","1","1"
"1","1","1","1","1","1"
"1","0","1","1","1","0"
"1","1","1","0","1","0"
"1","0","1","0","1","1"
"1","1","1","1","1","0"
"0","1","0","0","0","1"
"0","0","0","0","0","1"
"0","0","0","0","0","0"
"0","0","0","0","0","0"
"0","1","0","0","0","0"
"0","0","0","0","0","0"
"1","0","1","1","1","1"
"1","1","1","1","1","0"
"1","1","1","1","1","0"
"1","1","1","1","1","0"
"1","0","1","0","1","0"
"1","1","1","1","1","0"
"0","0","0","0","0","0"
"0","0","0","0","0","0"
"0","0","0","0","0","0"
"0","0","0","0","0","0"
"0","0","0","0","0","0"
"0","0","0","0","0","0"
"1","1","1","1","1","1"
"1","0","1","1","1","1"
"1","1","1","1","1","0"
"1","0","1","1","1","1"
"1","0","1","1","1","0"
"1","1","1","1","1","0"
"0","0","0","0","0","1"
"0","0","0","0","0","1"
"0","0","0","0","0","0"
"0","0","0","0","0","0"
"0","0","0","0","0","0"
"0","0","0","0","0","0"
"1","1","1","1","1","1"
"1","1","1","1","1","1"
"1","1","1","1","1","0"
"1","1","1","1","1","0"
"1","0","1","0","1","0"
"1","0","1","1","1","0"
"0","1","0","0","0","0"
"0","0","0","0","0","0"
"0","0","0","0","0","0"
"0","0","0","0","0","1"
"0","0","0","1","0","0"
"0","1","0","0","0","0"
